PlcId,Group,Address,Name,DataType,ArrayLength,Description
omron_1,来料,D1000,PLC心跳获取,UShort,1,PLC心跳获取
omron_1,来料,D1001,PLC心跳响应,UShort,1,PLC心跳响应
omron_1,来料,D1002,PLC通道1来料触发,UShort,1,PLC通道1来料触发
omron_1,来料,D1003,PLC通道2来料触发,UShort,1,PLC通道2来料触发
omron_1,来料,D1004,PLC通道3来料触发,UShort,1,PLC通道3来料触发
omron_1,来料,D1005,PLC通道4来料触发,UShort,1,PLC通道4来料触发
omron_1,来料,D1006,PLC通道1来料电芯码,String,15,PLC通道1来料电芯码
omron_1,来料,D1021,PLC通道2来料电芯码,String,15,PLC通道2来料电芯码
omron_1,来料,D1036,PLC通道3来料电芯码,String,15,PLC通道3来料电芯码
omron_1,来料,D1051,PLC通道4来料电芯码,String,15,PLC通道4来料电芯码
omron_1,来料,D1066,PLC通道1来料复投触发,UShort,1,PLC通道1来料复投触发
omron_1,来料,D1067,PLC通道2来料复投触发,UShort,1,PLC通道2来料复投触发
omron_1,来料,D1068,PLC通道3来料复投触发,UShort,1,PLC通道3来料复投触发
omron_1,来料,D1069,PLC通道4来料复投触发,UShort,1,PLC通道4来料复投触发
omron_1,来料,D1070,PLC通道1来料结果,UShort,1,PLC通道1来料结果
omron_1,来料,D1071,PLC通道2来料结果,UShort,1,PLC通道2来料结果
omron_1,来料,D1072,PLC通道3来料结果,UShort,1,PLC通道3来料结果
omron_1,来料,D1073,PLC通道4来料结果,UShort,1,PLC通道4来料结果
omron_1,来料,D1074,PLC通道1来料复投信息,ShortArray,30,PLC通道1来料复投信息
omron_1,来料,D1104,PLC通道2来料复投信息,ShortArray,30,PLC通道2来料复投信息
omron_1,来料,D1134,PLC通道3来料复投信息,ShortArray,30,PLC通道3来料复投信息
omron_1,来料,D1164,PLC通道4来料复投信息,ShortArray,30,PLC通道4来料复投信息
omron_2,出站,D2000,PLC通道1分流触发,UShort,1,PLC通道1分流触发
omron_2,出站,D2001,PLC通道2分流触发,UShort,1,PLC通道2分流触发
omron_2,出站,D2002,PLC通道3分流触发,UShort,1,PLC通道3分流触发
omron_2,出站,D2003,PLC通道4分流触发,UShort,1,PLC通道4分流触发
omron_2,出站,D2004,PLC通道1分流电芯码,String,15,PLC通道1分流电芯码
omron_2,出站,D2019,PLC通道2分流电芯码,String,15,PLC通道2分流电芯码
omron_2,出站,D2034,PLC通道3分流电芯码,String,15,PLC通道3分流电芯码
omron_2,出站,D2049,PLC通道4分流电芯码,String,15,PLC通道4分流电芯码
omron_2,出站,D2064,PLC通道1分流NG状态,UShort,1,PLC通道1分流NG状态
omron_2,出站,D2065,PLC通道2分流NG状态,UShort,1,PLC通道2分流NG状态
omron_2,出站,D2066,PLC通道3分流NG状态,UShort,1,PLC通道3分流NG状态
omron_2,出站,D2067,PLC通道4分流NG状态,UShort,1,PLC通道4分流NG状态
omron_2,出站,D2068,PLC通道1分流出站结果,UShort,1,PLC通道1分流出站结果
omron_2,出站,D2069,PLC通道2分流出站结果,UShort,1,PLC通道2分流出站结果
omron_2,出站,D2070,PLC通道3分流出站结果,UShort,1,PLC通道3分流出站结果
omron_2,出站,D2071,PLC通道4分流出站结果,UShort,1,PLC通道4分流出站结果
omron_2,出站,D2072,电芯1清洗状态,ShortArray,10,电芯1清洗状态
omron_2,出站,D2082,电芯2清洗状态,ShortArray,10,电芯2清洗状态
omron_2,出站,D2092,电芯2清洗状态,ShortArray,10,电芯2清洗状态
omron_2,出站,D2102,电芯4清洗状态,ShortArray,10,电芯4清洗状态
omron_2,出站,D2112,出站心跳,UShort,1,出站心跳
omron_2,出站,D2113,视觉工控机1更新触发,UShort,1,视觉工控机1更新触发
omron_2,出站,D2114,视觉工控机2更新触发,UShort,1,视觉工控机2更新触发
omron_2,出站,D2115,视觉工控机3更新触发,UShort,1,视觉工控机3更新触发
omron_2,出站,D2116,视觉工控机1更新响应,UShort,1,视觉工控机1更新响应
omron_2,出站,D2117,视觉工控机2更新响应,UShort,1,视觉工控机2更新响应
omron_2,出站,D2118,视觉工控机3更新响应,UShort,1,视觉工控机3更新响应
