PlcId,Group,Address,Name,DataType,ArrayLength,Description
omron_local_1,Omron,D100,Omron_Int_D100,Int,1,测试Int类型
omron_local_1,Omron,D102,Omron_Int_D102,Int,1,测试Int类型2
omron_local_1,Omron,W100,Omron_Short_W100,Short,1,测试Short类型
omron_local_1,Omron,W102,Omron_Short_W102,Short,1,测试Short类型2
omron_local_1,Omron,H000,Omron_Bool_H000,Bool,1,测试Bool类型
omron_local_1,Omron,H002,Omron_Bool_H002,Bool,1,测试Bool类型2
omron_local_1,Omron,A000,Omron_Bool_A000,Bool,1,测试输入点
omron_local_1,Omron,D104,Omron_UInt_D104,UInt,1,测试UInt类型
omron_local_1,Omron,D106,Omron_UShort_D106,UShort,1,测试UShort类型
omron_local_1,Omron,D108,Omron_Long_D108,Long,1,测试Long类型
omron_local_1,Omron,D110,Omron_ULong_D110,ULong,1,测试ULong类型
omron_local_1,Omron,D112,Omron_Float_D112,Float,1,测试Float类型
omron_local_1,Omron,D114,Omron_Double_D114,Double,1,测试Double类型
omron_local_1,Omron,D116,Omron_String_D116,String,16,测试String类型
omron_local_1,Omron,W110,Omron_ShortArray_W110,ShortArray,4,测试ShortArray(不支持)
omron_local_1,Omron,D120,Omron_IntArray_D120,IntArray,3,测试IntArray(不支持)
omron_local_2,Omron,D200,Omron2_Int_D200,Int,1,测试Int类型
omron_local_2,Omron,D202,Omron2_Int_D202,Int,1,测试Int类型2
omron_local_2,Omron,W200,Omron2_Short_W200,Short,1,测试Short类型
omron_local_2,Omron,W202,Omron2_Short_W202,Short,1,测试Short类型2
omron_local_2,Omron,H100,Omron2_Bool_H100,Bool,1,测试Bool类型
omron_local_2,Omron,H102,Omron2_Bool_H102,Bool,1,测试Bool类型2
omron_local_2,Omron,A100,Omron2_Bool_A100,Bool,1,测试输入点
omron_local_2,Omron,D204,Omron2_UInt_D204,UInt,1,测试UInt类型
omron_local_2,Omron,D206,Omron2_UShort_D206,UShort,1,测试UShort类型
omron_local_2,Omron,D208,Omron2_Float_D208,Float,1,测试Float类型
omron_local_2,Omron,D210,Omron2_Double_D210,Double,1,测试Double类型
omron_local_2,Omron,D212,Omron2_String_D212,String,16,测试String类型
siemens_local_1,Siemens,DB1.DBD0,Siemens_Float_DBD0,Float,1,测试Float类型
siemens_local_1,Siemens,DB1.DBD4,Siemens_Int_DBD4,Int,1,测试Int类型
siemens_local_1,Siemens,DB1.DBW0,Siemens_Short_DBW0,Short,1,测试Short类型
siemens_local_1,Siemens,DB1.DBB0,Siemens_Byte_DBB0,Byte,1,测试Byte类型
siemens_local_1,Siemens,DB1.DBX0.0,Siemens_Bool_DBX0_0,Bool,1,测试Bool类型
siemens_local_1,Siemens,DB1.DBX0.1,Siemens_Bool_DBX0_1,Bool,1,测试Bool类型2
siemens_local_1,Siemens,DB1.DBD8,Siemens_Double_DBD8,Double,1,测试Double类型
siemens_local_1,Siemens,DB1.DBD12,Siemens_UInt_DBD12,UInt,1,测试UInt类型
siemens_local_1,Siemens,DB1.DBD16,Siemens_UShort_DBD16,UShort,1,测试UShort类型
siemens_local_1,Siemens,DB1.DBD20,Siemens_Long_DBD20,Long,1,测试Long类型
siemens_local_1,Siemens,DB1.DBD24,Siemens_ULong_DBD24,ULong,1,测试ULong类型
siemens_local_1,Siemens,DB1.DBD28,Siemens_Int2_DBD28,Int,1,测试Int类型2
siemens_local_1,Siemens,DB1.DBD32,Siemens_String_DBD32,String,16,测试String类型
siemens_local_1,Siemens,DB1.DBB40,Siemens_BoolArray_DBB40,BoolArray,8,测试BoolArray(不支持)
siemens_local_1,Siemens,DB1.DBD48,Siemens_IntArray_DBD48,IntArray,3,测试IntArray(不支持)
siemens_local_1,Siemens,DB1.DBW56,Siemens_ShortArray_DBW56,ShortArray,4,测试ShortArray(不支持)
